sim rep samples_pop1 samples_pop2 read_depth fst ne_pop1 acc_pop1 ne_pop2 acc_pop2
9 2 10 100 10 0.02069 7.2654 1 97.04349 1
31 3 10 50 1 0.01005 2.3282373 0 17.691278 1
14 3 50 50 5 0.02221 41.396404 1 40.933434 1
18 2 50 100 10 0.01934 46.029705 1 96.78881 0.99
19 2 100 10 1 0.01609 36.294346 1 2.2199514 0
15 3 50 50 10 0.01901 47.291664 1 47.215897 0.98
24 2 100 50 10 0.01832 96.70908 1 46.27897 1
40 2 50 50 1 0.01079 17.21898 0.98 17.147245 1
23 2 100 50 5 0.01835 85.39494 0.99 40.449146 1
37 3 50 10 1 0.01057 17.712872 1 2.3121228 0
42 1 50 50 10 0.01203 47.99747 0.98 47.839615 1
8 3 10 100 5 0.02194 6.250442 1 85.74652 0.99
20 3 100 10 5 0.02111 85.72415 1 6.283348 1
21 3 100 10 10 0.02125 97.04128 1 7.2729087 1
11 4 50 10 5 0.02055 42.692333 1 6.476977 1
39 3 50 10 10 0.0081 48.508854 0.98 7.946214 0.7
32 4 10 50 5 0.01071 6.826953 0.7 42.798584 1
5 5 10 50 5 0.02068 6.4728594 1 42.7748 1
22 2 100 50 1 0.02112 35.76583 1 16.284132 0.96
41 2 50 50 5 0.01221 41.94564 0.98 42.084305 1
4 5 10 50 1 0.02033 2.2288532 0.7 17.620127 1
33 4 10 50 10 0.0127 7.896919 0.8 48.48967 0.98
6 5 10 50 10 0.02866 7.0406313 1 48.379414 1
34 3 10 100 1 0.01152 2.2737286 0 36.317253 1
44 1 50 100 5 0.01068 41.61017 0.96 85.49507 0.98
12 5 50 10 10 0.01556 48.474586 1 7.494474 1
7 3 10 100 1 0.01769 2.2247012 0 36.31189 1
43 1 50 100 1 0.01039 16.91307 0.96 36.038536 0.99
13 4 50 50 1 0.02309 16.682804 1 16.689602 0.98
38 3 50 10 5 0.01635 42.77663 1 6.571723 1
10 4 50 10 1 0.02204 17.638205 1 2.188055 0.9
31 4 10 50 1 0.01224 2.2701492 0.1 17.711113 1
36 3 10 100 10 0.00861 7.8716345 0.6 97.02195 1
25 2 100 100 1 0.02037 34.940147 0.99 34.970535 0.98
35 3 10 100 5 0.00915 6.721407 0.4 85.68702 1
14 4 50 50 5 0.02166 41.040638 1 41.07799 1
27 2 100 100 10 0.01982 96.01635 0.99 96.05001 0.99
37 4 50 10 1 0.01153 17.664162 1 2.2698448 0
17 3 50 100 5 0.01729 40.729298 0.96 85.27037 1
32 5 10 50 5 0.01382 6.71806 0.9 42.77705 1
15 4 50 50 10 0.01947 47.04846 1 47.09207 1
11 5 50 10 5 0.02387 42.71215 1 6.420597 0.9
39 4 50 10 10 0.01277 48.49306 1 7.7833924 1
40 3 50 50 1 0.01092 17.200169 1 17.211344 1
42 2 50 50 10 0.01194 47.85498 0.98 47.84603 1
47 1 100 10 5 0.00996 85.77869 1 6.7862377 0.4
16 3 50 100 1 0.01789 16.322 1 35.729206 1
33 5 10 50 10 0.01044 7.8156767 0.7 48.507534 1
46 1 100 10 1 0.01418 36.323925 1 2.2720308 0.1
48 1 100 10 10 0.00859 97.0435 1 7.743165 0.5
21 4 100 10 10 0.02056 97.04503 1 7.291161 1
9 3 10 100 10 0.01928 7.4111614 1 97.04508 1
20 4 100 10 5 0.01984 85.74245 1 6.384828 1
8 4 10 100 5 0.01802 6.466201 0.9 85.75453 1
41 3 50 50 5 0.01083 42.158047 1 41.992596 1
45 1 50 100 10 0.01146 47.21454 0.98 96.96526 1
31 5 10 50 1 0.01208 2.2896361 0 17.718477 1
34 4 10 100 1 0.01007 2.2931585 0 36.32387 1
26 2 100 100 5 0.02124 83.96215 1 84.04787 0.99
24 3 100 50 10 0.01967 96.66629 1 46.21749 0.98
38 4 50 10 5 0.01267 42.78601 1 6.7072325 0.8
13 5 50 50 1 0.01917 16.91398 0.98 16.887127 1
18 3 50 100 10 0.02047 45.485004 1 96.80147 1
23 3 100 50 5 0.01972 85.1828 0.99 40.320477 0.98
10 5 50 10 1 0.01569 17.695898 1 2.2422276 0.4
19 3 100 10 1 0.02445 36.34141 1 2.1956768 0.3
49 1 100 50 1 0.01007 36.03092 1 16.817577 0.98
37 5 50 10 1 0.00982 17.688112 1 2.3389027 0
44 2 50 100 5 0.00994 41.67125 0.98 85.54932 0.99
7 4 10 100 1 0.01612 2.21494 0 36.31362 1
39 5 50 10 10 0.0114 48.501114 1 7.784648 0.7
36 4 10 100 10 0.01042 7.773802 0.6 97.04033 1
55 1 10 10 1 0.00867 2.3329039 1 2.3276403 1
14 5 50 50 5 0.02265 41.115597 1 41.055218 1
22 3 100 50 1 0.01936 35.752926 1 16.266397 1
43 2 50 100 1 0.01058 16.876781 0.94 36.048576 0.99
56 1 10 10 5 0.00639 7.3071494 1 7.292651 1
35 4 10 100 5 0.01034 6.768147 0.5 85.733 1
57 1 10 10 10 0.00695 8.336149 0.9 8.337157 0.9
42 3 50 50 10 0.01085 47.920883 1 48.011795 1
51 1 100 50 10 0.01034 97.01155 0.98 47.30337 0.98
40 4 50 50 1 0.012 17.164938 1 17.17792 1
15 5 50 50 10 0.0175 47.23497 1 47.01709 1
50 1 100 50 5 0.01104 85.55129 0.99 41.412144 0.98
58 1 10 50 1 0.00653 2.3595316 0 17.722527 1
47 2 100 10 5 0.01213 85.73811 1 6.623075 0.8
52 1 100 100 1 0.01025 35.724667 0.99 35.715046 0.98
38 5 50 10 5 0.01065 42.747696 1 6.769678 0.8
21 5 100 10 10 0.02075 97.04 1 7.2503 1
55 2 10 10 1 0.00223 2.366703 0.7 2.36881 0.7
46 2 100 10 1 0.00973 36.301884 1 2.2911904 0
41 4 50 50 5 0.0103 42.24438 0.98 42.166695 0.98
17 4 50 100 5 0.0206 40.343494 0.98 85.1036 1
53 1 100 100 5 0.01036 85.13869 0.99 85.13951 0.99
48 2 100 10 10 0.01308 97.03715 1 7.5814757 0.7
8 5 10 100 5 0.02022 6.35936 1 85.71232 1
34 5 10 100 1 0.01122 2.2887073 0 36.28641 1
20 5 100 10 5 0.02083 85.76083 0.99 6.3251133 0.9
56 2 10 10 5 0.00867 7.2238455 1 7.2182174 0.9
57 2 10 10 10 0.00751 8.211224 1 8.268628 1
60 1 10 50 10 0.0092 7.9410625 0.7 48.49477 1
59 1 10 50 5 0.00654 6.955158 0.2 42.827034 1
16 4 50 100 1 0.02082 16.17215 1 35.655167 1
54 1 100 100 10 0.01134 96.46186 1 96.7848 0.95
25 3 100 100 1 0.0198 34.934753 1 34.979813 1
55 3 10 10 1 0.0072 2.346686 0.8 2.3765104 0.9
27 3 100 100 10 0.02251 95.67303 1 95.61334 1
9 4 10 100 10 0.01831 7.2700214 1 97.04909 1
45 2 50 100 10 0.01424 46.86247 1 96.96148 0.99
64 1 50 10 1 0.00503 17.750786 1 2.3642898 0
24 4 100 50 10 0.02017 96.78777 1 45.950035 1
66 1 50 10 10 0.00688 48.51138 1 8.044792 0.5
65 1 50 10 5 0.00696 42.780346 1 6.9837637 0.5
36 5 10 100 10 0.00809 7.7069273 0.5 97.02331 1
23 4 100 50 5 0.01925 85.25208 1 40.29576 0.98
58 2 10 50 1 0.00685 2.3492606 0 17.721655 1
56 3 10 10 5 0.0104 7.247385 1 7.164235 1
57 3 10 10 10 0.0082 8.344953 1 8.302788 0.8
42 4 50 50 10 0.01244 47.96544 0.98 47.892944 1
7 5 10 100 1 0.01987 2.1972318 0.4 36.30545 1
18 4 50 100 10 0.02177 45.64753 1 96.7884 1
49 2 100 50 1 0.01101 36.010723 1 16.734781 0.94
55 4 10 10 1 0.01153 2.360281 0.9 2.3716018 0.9
44 3 50 100 5 0.00889 41.820564 0.98 85.59666 1
19 4 100 10 1 0.01741 36.31472 1 2.1921487 0.2
40 5 50 50 1 0.01065 17.184267 0.98 17.204203 0.98
35 5 10 100 5 0.01242 6.630915 0.7 85.67354 1
62 1 10 100 5 0.01055 6.728835 0.4 85.71192 1
59 2 10 50 5 0.00733 6.9942975 0.2 42.81049 1
60 2 10 50 10 0.00636 8.073967 0.6 48.50799 1
47 3 100 10 5 0.00697 85.74007 0.99 6.932508 0.2
63 1 10 100 10 0.00893 7.8555183 0.5 97.04615 0.99
61 1 10 100 1 0.00855 2.3351932 0 36.318592 1
67 1 50 50 1 0.00811 17.35858 0.96 17.361713 0.94
43 3 50 100 1 0.01138 16.752857 0.96 36.02404 1
41 5 50 50 5 0.01272 42.05934 0.98 42.091267 1
51 2 100 50 10 0.01222 96.97504 1 46.99997 0.98
68 1 50 50 5 0.00598 42.51411 0.96 42.523315 0.96
55 5 10 10 1 0.00943 2.3465078 1 2.3616211 1
56 4 10 10 5 0.00737 7.1978745 0.9 7.266807 1
57 4 10 10 10 0.00486 8.3957615 0.8 8.364624 0.9
46 3 100 10 1 0.01117 36.325848 1 2.2509844 0
64 2 50 10 1 0.00821 17.698126 1 2.340874 0
69 1 50 50 10 0.0085 48.16556 1 48.1233 0.96
50 2 100 50 5 0.01134 85.52818 1 41.42534 0.98
22 4 100 50 1 0.02052 35.67684 0.99 16.132008 0.98
26 3 100 100 5 0.02007 84.24323 0.98 83.98309 1
66 2 50 10 10 0.00517 48.496094 1 8.01854 0.5
48 3 100 10 10 0.0136 97.03287 1 7.620834 0.5
65 2 50 10 5 0.00831 42.78879 1 6.906984 0.6
58 3 10 50 1 0.00521 2.3709984 0 17.733614 1
17 5 50 100 5 0.01782 40.862976 1 85.20318 1
52 2 100 100 1 0.01187 35.60821 1 35.62866 1
56 5 10 10 5 0.00582 7.3835526 1 7.3538218 0.8
57 5 10 10 10 0.00663 8.313092 1 8.329371 0.9
42 5 50 50 10 0.01063 47.89331 0.98 48.011204 1
