sim rep samples read_depth fst ne_pop1 acc_pop1 ne_pop2 acc_pop2 runtime runtime_full maf snps
15 1 100 1 0.11809 24.04761 1 24.238037 1 10 52 raw 100000
12 2 50 50 0.10491 35.82758 1 38.08678 1 2 6 raw 100000
16 1 100 5 0.09975 59.4493 1 61.93355 1 6 63 raw 100000
7 2 50 0.1 0.08891 1.1238064 1 1.1471009 1 4 99 filtered 100000
11 2 50 10 0.10884 40.15512 1 39.17877 1 2 8 filtered 100000
10 2 50 5 0.10026 36.092564 1 36.817425 1 3 13 filtered 100000
18 1 100 50 0.11747 70.52799 1 74.0832 1 4 21 raw 100000
8 2 50 0.5 0.10792 7.6127963 1 7.809629 1 5 85 filtered 100000
14 1 100 0.5 0.10738 12.754341 1 12.771784 1 8 191 raw 100000
17 1 100 10 0.11451 83.785774 1 83.53455 1 4 22 filtered 100000
9 3 50 1 0.12874 11.773435 1 12.089098 1 4 18 raw 100000
12 2 50 50 0.10491 41.13154 1 43.48774 1 2 6 filtered 100000
15 1 100 1 0.11809 30.316305 1 30.450468 1 5 51 filtered 100000
9 3 50 1 0.12874 14.429001 1 14.593359 1 3 18 filtered 100000
10 3 50 5 0.10711 30.370642 1 30.789957 1 3 14 raw 100000
11 3 50 10 0.10508 36.229076 1 35.56999 1 2 8 raw 100000
16 1 100 5 0.09975 74.09822 1 75.07013 1 5 56 filtered 100000
13 1 100 0.1 0.11165 2.898137 1 2.8935418 1 6 200 filtered 100000
18 1 100 50 0.11747 85.24009 1 87.23426 0.99 3 22 filtered 100000
7 3 50 0.1 0.11776 0.83578587 0.98 0.86806214 1 4 98 raw 100000
10 3 50 5 0.10711 35.47558 1 36.020973 1 3 14 filtered 100000
11 3 50 10 0.10508 41.38708 1 41.60645 1 3 6 filtered 100000
12 3 50 50 0.11128 35.87855 1 36.96709 1 2 4 raw 100000
8 3 50 0.5 0.11076 6.201961 1 6.0251694 1 5 86 raw 100000
9 4 50 1 0.10361 12.155946 1 12.091993 1 3 19 raw 100000
14 1 100 0.5 0.10738 16.901743 1 16.804773 1 6 180 filtered 100000
12 3 50 50 0.11128 40.808804 1 41.726543 1 1 5 filtered 100000
17 2 100 10 0.1082 70.14069 1 70.3597 1 4 21 raw 100000
7 3 50 0.1 0.11776 1.1105257 0.98 1.1070808 1 4 100 filtered 100000
9 4 50 1 0.10361 14.681683 1 14.801095 1 3 18 filtered 100000
10 4 50 5 0.10776 30.554888 1 30.611364 1 2 14 raw 100000
11 4 50 10 0.1233 34.756336 1 34.46295 1 2 7 raw 100000
8 3 50 0.5 0.11076 7.87486 1 7.757877 1 5 84 filtered 100000
15 2 100 1 0.09554 24.452635 1 24.440647 1 6 52 raw 100000
10 4 50 5 0.10776 35.92097 1 35.151386 1 3 14 filtered 100000
11 4 50 10 0.1233 39.2824 1 38.40264 1 2 7 filtered 100000
17 2 100 10 0.1082 84.72733 1 83.86888 1 4 21 filtered 100000
12 4 50 50 0.11665 36.017174 1 37.19183 1 2 6 raw 100000
9 5 50 1 0.11293 12.077233 1 11.803707 1 3 18 raw 100000
18 2 100 50 0.12512 72.58774 1 71.27434 1 3 21 raw 100000
16 2 100 5 0.11561 60.042385 1 58.608013 1 5 63 raw 100000
9 5 50 1 0.11293 14.571218 1 14.381095 1 2 19 filtered 100000
7 4 50 0.1 0.11186 0.85908115 1 0.8680258 1 4 99 raw 100000
15 2 100 1 0.09554 30.501 1 31.062027 1 5 50 filtered 100000
12 4 50 50 0.11665 40.565746 1 42.08691 1 2 6 filtered 100000
10 5 50 5 0.11514 30.339317 1 31.819918 1 3 15 raw 100000
11 5 50 10 0.11783 35.65781 1 35.307816 1 2 7 raw 100000
13 2 100 0.1 0.10528 1.9507047 1 1.9760044 1 6 201 raw 100000
8 4 50 0.5 0.11552 6.192869 0.98 6.062546 0.98 5 86 raw 100000
10 5 50 5 0.11514 35.309025 1 36.84167 1 3 13 filtered 100000
11 5 50 10 0.11783 40.604416 1 39.7814 1 2 8 filtered 100000
18 2 100 50 0.12512 85.63207 1 84.26429 1 3 21 filtered 100000
14 2 100 0.5 0.09958 12.907834 1 12.864633 1 6 170 raw 100000
7 4 50 0.1 0.11186 1.1185377 1 1.1219119 1 5 97 filtered 100000
16 2 100 5 0.11561 73.475525 1 70.90628 1 6 63 filtered 100000
8 4 50 0.5 0.11552 7.888698 0.98 7.7625923 0.98 5 85 filtered 100000
17 3 100 10 0.12202 67.92385 1 70.58372 1 5 25 raw 100000
12 5 50 50 0.10745 37.705624 1 35.87758 1 2 10 raw 100000
12 5 50 50 0.10745 42.78783 1 41.020657 1 2 5 filtered 100000
13 2 100 0.1 0.10528 2.9412293 1 2.8963618 1 6 197 filtered 100000
15 3 100 1 0.12176 24.227652 1 24.316547 0.99 5 52 raw 100000
17 3 100 10 0.12202 80.97114 1 84.11092 1 4 26 filtered 100000
7 5 50 0.1 0.08895 0.85610485 1 0.86690485 1 5 97 raw 100000
14 2 100 0.5 0.09958 16.833742 1 16.798124 1 7 169 filtered 100000
8 5 50 0.5 0.11673 6.1281233 1 6.0520773 1 4 86 raw 100000
18 3 100 50 0.11447 73.16384 1 71.970825 1 3 22 raw 100000
25 1 10 0.1 0.0188 0.10296544 1 0.1013877 0.9 5 5 raw 100000
25 1 10 0.1 0.0188 0.09770403 1 0.0986743 0.8 1 6 filtered 100000
15 3 100 1 0.12176 30.558 1 30.74669 0.99 5 50 filtered 100000
16 3 100 5 0.12033 59.92922 1 59.696854 1 5 63 raw 100000
7 5 50 0.1 0.08895 1.1359435 1 1.1407697 1 4 98 filtered 100000
8 5 50 0.5 0.11673 7.6882586 1 7.706529 1 5 85 filtered 100000
25 2 10 0.1 0.0192 0.10410793 1 0.10388128 0.9 1 2 raw 100000
25 2 10 0.1 0.0192 0.09495725 1 0.098344065 0.8 2 2 filtered 100000
25 3 10 0.1 0.02544 0.10418226 1 0.10181774 1 2 6 raw 100000
18 3 100 50 0.11447 86.63884 1 85.41378 1 3 21 filtered 100000
17 4 100 10 0.10838 69.69927 1 70.6625 1 4 26 raw 100000
25 3 10 0.1 0.02544 0.0984355 1 0.09796535 0.8 3 6 filtered 100000
25 4 10 0.1 0.02061 0.102172814 1 0.102878466 1 3 2 raw 100000
13 3 100 0.1 0.10223 2.000903 1 1.9433792 1 6 205 raw 100000
16 3 100 5 0.12033 73.91365 1 72.74904 1 6 62 filtered 100000
27 1 10 1 0.02175 2.3203716 1 2.3021278 1 1 2 raw 100000
25 4 10 0.1 0.02061 0.098211706 1 0.09854425 0.7 2 5 filtered 100000
26 1 10 0.5 0.02537 1.059226 1 1.0461391 1 1 9 raw 100000
27 1 10 1 0.02175 2.326696 1 2.2958384 1 1 2 filtered 100000
26 1 10 0.5 0.02537 1.0167242 1 1.0183243 1 2 8 filtered 100000
17 4 100 10 0.10838 83.132 1 84.11918 1 5 23 filtered 100000
25 5 10 0.1 0.01938 0.10131089 1 0.10277028 0.9 2 5 raw 100000
27 2 10 1 0.01414 2.3101358 0.9 2.3386219 0.9 1 3 raw 100000
25 5 10 0.1 0.01938 0.09852859 0.9 0.09755455 1 2 2 filtered 100000
14 3 100 0.5 0.12118 12.516306 1 12.809394 1 7 181 raw 100000
27 2 10 1 0.01414 2.3295317 0.9 2.3631582 0.9 1 2 filtered 100000
26 2 10 0.5 0.02124 1.0550379 1 1.045632 0.9 1 9 raw 100000
15 4 100 1 0.12348 24.127808 1 24.25396 1 5 52 raw 100000
26 2 10 0.5 0.02124 1.0235784 1 1.0176721 1 2 8 filtered 100000
27 3 10 1 0.02119 2.347344 1 2.3144348 1 1 2 raw 100000
27 3 10 1 0.02119 2.3430514 1 2.3129163 1 1 2 filtered 100000
26 3 10 0.5 0.02149 1.0432606 1 1.0537819 1 1 9 raw 100000
28 1 10 5 0.02208 6.9376926 1 6.6532335 1 1 2 raw 100000
26 3 10 0.5 0.02149 1.0298507 1 1.0305237 1 2 8 filtered 100000
28 1 10 5 0.02208 7.1127367 1 6.955874 1 1 2 filtered 100000
18 4 100 50 0.11522 71.66234 1 73.86831 1 3 21 raw 100000
27 4 10 1 0.02228 2.3029428 1 2.274 1 1 2 raw 100000
27 4 10 1 0.02228 2.3087885 1 2.2948625 1 1 2 filtered 100000
15 4 100 1 0.12348 30.450342 1 30.477455 1 6 50 filtered 100000
13 3 100 0.1 0.10223 2.928479 1 2.8948512 1 6 202 filtered 100000
26 4 10 0.5 0.02056 1.0708131 1 1.0570842 1 1 9 raw 100000
28 2 10 5 0.01988 6.8193426 1 6.7485404 1 2 2 raw 100000
26 4 10 0.5 0.02056 1.0276445 1 1.0121933 1 2 8 filtered 100000
28 2 10 5 0.01988 6.978735 1 6.926537 1 2 2 filtered 100000
27 5 10 1 0.0258 2.3253844 1 2.2887971 1 1 2 raw 100000
27 5 10 1 0.0258 2.302959 1 2.2921262 1 1 2 filtered 100000
17 5 100 10 0.1072 69.36244 1 73.01805 1 4 21 raw 100000
16 4 100 5 0.09975 61.052475 1 59.523266 1 5 63 raw 100000
14 3 100 0.5 0.12118 16.588507 1 16.681368 1 6 173 filtered 100000
26 5 10 0.5 0.0202 1.0575378 1 1.0514773 1 1 9 raw 100000
28 3 10 5 0.0238 6.80083 1 6.7715974 1 2 5 raw 100000
26 5 10 0.5 0.0202 1.033636 1 1.0288031 1 2 8 filtered 100000
28 3 10 5 0.0238 6.9716268 1 6.9190583 1 1 2 filtered 100000
29 1 10 10 0.02593 7.837692 1 7.6924624 1 1 1 raw 100000
18 4 100 50 0.11522 86.29915 1 85.90455 1 4 22 filtered 100000
29 1 10 10 0.02593 7.936313 1 7.8355165 1 1 1 filtered 100000
30 1 10 50 0.01445 8.242839 0.9 8.027484 1 1 1 raw 100000
30 1 10 50 0.01445 8.463771 0.9 8.29785 1 2 1 filtered 100000
28 4 10 5 0.0189 6.7900515 1 6.8130507 1 2 3 raw 100000
29 2 10 10 0.02083 7.779917 1 7.8480906 1 1 1 raw 100000
28 4 10 5 0.0189 6.976751 1 6.9238744 1 2 2 filtered 100000
29 2 10 10 0.02083 8.057517 1 7.9786243 1 1 1 filtered 100000
17 5 100 10 0.1072 84.57337 1 86.70421 1 4 21 filtered 100000
30 2 10 50 0.02437 8.035166 1 8.012907 1 1 2 raw 100000
30 2 10 50 0.02437 8.164233 1 8.054012 1 1 1 filtered 100000
28 5 10 5 0.0176 6.787835 1 6.865249 1 2 1 raw 100000
29 3 10 10 0.02299 7.736333 1 7.8654337 1 1 1 raw 100000
29 3 10 10 0.02299 7.961768 1 8.060548 1 0 1 filtered 100000
28 5 10 5 0.0176 6.996351 1 7.052901 1 1 2 filtered 100000
