idx,vcf_name,NMFS_DNA_ID,ref_pop,group
108,DPCh_plate1_E01_S49,T144778,Klamath,mixture
109,DPCh_plate1_G04_S76,T145125,Klamath,mixture
110,DPCh_plate1_C01_S25,T144774,Klamath,mixture
111,DPCh_plate1_F01_S61,T144782,Klamath,mixture
112,DPCh_plate1_D04_S40,T145121,Klamath,mixture
113,DPCh_plate1_H04_S88,T145126,Klamath,mixture
114,DPCh_plate1_D03_S39,T145113,Klamath,mixture
115,DPCh_plate1_A04_S4,T145118,Klamath,mixture
116,DPCh_plate1_B03_S15,T145111,Klamath,mixture
117,DPCh_plate2_B02_S106,T145066,Sacramento,mixture
118,DPCh_plate2_H03_S155,T145091,Sacramento,mixture
119,DPCh_plate2_C01_S113,T145059,Sacramento,mixture
120,DPCh_plate2_C02_S114,T145067,Sacramento,mixture
121,DPCh_plate2_A02_S98,T145065,Sacramento,mixture
122,DPCh_plate2_B01_S105,T145058,Sacramento,mixture
123,DPCh_plate2_A04_S100,T145092,Sacramento,mixture
124,DPCh_plate2_D03_S123,T145086,Sacramento,mixture
125,DPCh_plate2_E03_S131,T145087,Sacramento,mixture
126,DPCh_plate1_H06_S90,T144958,Sacramento,mixture
127,DPCh_plate1_G08_S80,T145149,Sacramento,mixture
128,DPCh_plate2_A01_S97,T145057,Sacramento,mixture
